periodo,Precio_cobre_ nominal,Agropecuario-silvícola y pesquero (FOB),"Celulosa, papel y otros (FOB)",Cobre (Miles TM),TPM_USA,TPM_CHN,TPM_CHL,PMI_CHN,IPI_USA,IPI_KOR,IPI_JPN,Exp_Cobre ,Monto_FOB_Cobre,Precio_FMI,INV_BML, Peso_CHL/USD,Yuan_CHN/USD,Yea_JPN/USD,Won_KOR/USD,,,,,
Nov.2013,320.527,148.25,308.75,501.212,0.08,3.25,4.65,51.0,1.10%,-1.30%,0.10%,501.212,"3,394.06",161.39,"423,825","519,25","60,929","1,000,737","10,615,637",,,,,
Dec.2013,326.720,397.99,227.36,424.355,0.09,3.25,4.50,50.5,0.30%,2.60%,1.10%,424.355,"2,885.15",162.38,"366,425","529,45","60,738","103,46","10,556,348",,,,,
Jan.2014,330.891,795.14,303.95,502.631,0.07,3.25,4.50,50.2,-0.30%,-3.80%,4.00%,502.631,"3,429.69",159.43,"314,525","537,03","60,509","1,037,614","10,671,267",,,,,
Feb.2014,324.416,538.06,208.83,290.991,0.07,3.25,4.40,50.3,0.60%,4.30%,-2.30%,290.991,"1,961.07",155.16,"276,225","554,41","60,816","1,021,253","10,713,063",,,,,
Mar.2014,302.448,811.28,330.58,613.768,0.08,3.25,4.11,50.4,0.70%,2.70%,0.30%,613.768,"4,118.12",147.98,"265,175","563,84","61,729","1,023,395","1,070,491",,,,,
Apr.2014,302.584,885.86,284.34,501.274,0.09,3.25,4.00,50.8,-0.60%,2.40%,-2.50%,501.274,"3,243.29",152.95,"233,325","554,64","62,246","1,024,582","1,042,635",,,,,
May.2014,312.248,603.78,315.08,539.315,0.09,3.25,4.00,51.0,0.60%,2.10%,0.50%,539.315,"3,356.58",148.83,"171,350","555,40","6,238","1,017,738","10,247,867",,,,,
Jun.2014,308.719,374.43,316.43,495.173,0.1,3.25,4.00,51.7,0.20%,0.60%,-3.30%,495.173,"3,160.01",145.35,"154,675","553,06","62,306","1,020,629","10,187,443",,,,,
Jul.2014,322.255,344.20,299.57,470.465,0.09,3.25,3.88,51.1,0.40%,3.40%,0.20%,470.465,"2,999.90",149.67,"146,750","558,21","61,984","101,74","10,210,341",,,,,
Aug.2014,317.540,229.99,276.06,447.645,0.09,3.25,3.63,51.1,-0.10%,-2.80%,-1.50%,447.645,"2,912.74",148.72,"148,150","579,05","61,541","1,029,438","1024,55",,,,,
Sep.2014,311.719,200.09,279.75,415.965,0.09,3.25,3.36,50.8,1.00%,-1.90%,2.70%,415.965,"2,674.27",141.53,"152,550","593,47","61,382","1,074,257","10,358,914",,,,,
Oct.2014,305.685,156.65,317.86,475.853,0.09,3.25,3.14,50.3,-0.10%,0.10%,0.20%,475.853,"3,034.28",134.99,"162,600","589,98","61,251","1,080,264","10,603,359",,,,,
Nov.2014,303.958,147.76,255.75,529.267,0.09,3.25,3.00,50.1,1.30%,-3.40%,-0.60%,529.267,"3,241.26",132.78,"164,300","592,46","61,249","1,162,994","10,978,728",,,,,
Dec.2014,291.340,533.48,334.49,431.417,0.12,3.25,3.00,49.8,-0.10%,0.40%,1.00%,431.417,"2,625.90",125.88,"177,025","612,92","61,886","1,193,233","11,026,224",,,,,
Jan.2015,263.802,786.61,232.23,562.015,0.11,3.25,3.00,49.9,0.20%,1.80%,4.00%,562.015,"3,380.52",120.27,"248,125","620,91","62,181","118,25","1088,13",,,,,
Feb.2015,258.642,562.75,256.30,507.368,0.11,3.25,3.00,50.1,0.10%,-4.70%,-3.40%,507.368,"2,756.23",115.81,"296,375","623,62","62,518","118,76","11,014,605",,,,,
Mar.2015,268.792,728.27,274.94,413.178,0.11,3.25,3.00,50.1,-0.60%,-0.10%,-0.30%,413.178,"2,264.10",113.23,"332,300","628,50","62,386","1,203,945","11,129,005",,,,,
Apr.2015,273.447,742.85,287.80,489.022,0.12,3.25,3.00,50.2,-0.30%,-2.70%,1.00%,489.022,"2,602.32",111.07,"337,925","614,73","6,201","1,195,095","10,846,709",,,,,
May.2015,285.791,423.86,256.62,452.690,0.12,3.25,3.00,50.2,-0.20%,-2.80%,-2.20%,452.69,"2,507.52",117.02,"322,150","607,60","62,035","120,798","10,926,365",,,,,
Jun.2015,264.608,390.08,250.82,435.250,0.13,3.25,3.00,50.0,0.30%,1.20%,0.80%,435.25,"2,438.37",111.97,"324,100","629,99","62,052","1,237,186","11,128,832",,,,,
Jul.2015,247.521,339.66,324.03,636.357,0.13,3.25,3.00,49.7,0.60%,-3.30%,-0.60%,636.357,"3,396.61",102.12,"345,475","650,14","62,085","1,233,109","11,465,468",,,,,
Aug.2015,230.830,227.90,285.47,443.140,0.14,3.25,3.00,49.8,-0.40%,2.40%,-0.50%,443.14,"2,235.18",100.69,"371,250","688,12","63,383","1,230,038","11,781,438",,,,,
Sep.2015,236.235,211.29,233.78,501.656,0.14,3.25,3.00,49.8,-0.20%,1.50%,1.00%,501.656,"2,404.36",100.78,"323,800","691,73","63,676","1,201,476","1184,33",,,,,
Oct.2015,236.894,169.29,280.46,439.376,0.12,3.25,3.13,49.6,-0.20%,-0.30%,1.40%,439.376,"2,108.99",98.07,"267,775","685,31","63,505","1,200,481","1,143,199",,,,,
Nov.2015,218.098,168.69,222.18,432.132,0.12,2.90,3.25,49.7,-0.60%,-1.90%,-1.00%,432.132,"2,071.68",90.21,"244,375","704,00","6,364","1,226,432","11,534,721",,,,,
Dec.2015,209.968,443.11,228.57,482.704,0.24,2.90,3.35,49.4,-0.40%,-1.90%,-1.40%,482.704,"2,164.78",86.01,"236,225","704,24","64,491","121,635","11,699,464",,,,,
Jan.2016,202.43,943.81,275.37,537.259,0.34,2.90,3.50,49.0,0.90%,2.40%,3.70%,537.259,"2,265.41",85.26,"242,375","721,95","65,726","1,182,258","12,033,179",,,,,
Feb.2016,208.45,600.56,218.03,345.494,0.38,2.90,3.50,50.2,-0.50%,-1.50%,-6.20%,345.494,"1,478.05",89.32,"195,625","704,08","65,501","1,146,155","12,162,285",,,,,
Mar.2016,224.42,695.97,238.74,565.278,0.36,2.90,3.50,50.1,-0.60%,-2.80%,3.60%,565.278,"2,435.42",96.92,"144,750","682,07","65,027","1,129,317","1,181,573",,,,,
Apr.2016,220.04,723.23,278.64,521.813,0.37,2.90,3.50,50.1,0.70%,4.30%,0.30%,521.813,"2,388.07",99.07,"149,500","669,93","64,754","1,095,519","11,457,967",,,,,
May.2016,213.57,568.46,225.10,607.623,0.37,2.90,3.50,50.0,-0.40%,0.80%,-2.30%,607.623,"2,677.57",95.83,"151,725","681,87","65,259","1,088,481","11,737,905",,,,,
Jun.2016,210.04,369.05,219.60,509.716,0.38,2.90,3.50,49.9,0.60%,1.60%,1.90%,509.716,"2,162.19",95.01,"191,525","681,07","65,892","1,053,509","11,652,023",,,,,
Jul.2016,220.26,311.47,265.74,408.199,0.39,2.90,3.50,50.4,0.70%,2.30%,0.00%,408.199,"1,757.20",100.44,"209,450","657,57","66,771","104,191","1,140,865",,,,,
Aug.2016,215.83,284.96,237.58,417.826,0.4,2.90,3.50,50.4,-0.40%,-2.00%,1.50%,417.826,"1,889.15",102.24,"293,525","658,89","66,466","1,012,383","11,100,183",,,,,
Sep.2016,213.51,251.69,229.13,427.681,0.4,2.90,3.50,51.2,0.10%,-1.60%,0.00%,427.681,"1,910.88",100.01,"372,225","668,63","66,702","1,017,843","11,083,638",,,,,
Oct.2016,214.65,216.96,212.44,448.532,0.4,2.90,3.50,51.7,0.00%,4.80%,0.10%,448.532,"1,947.09",101.13,"320,825","663,92","67,303","1,039,075","1,128,166",,,,,
Nov.2016,246.90,217.47,236.59,513.263,0.41,2.90,3.50,51.4,-0.40%,4.30%,1.50%,513.263,"2,262.12",115.24,"234,825","666,12","68,402","108,443","1,162,708",,,,,
Dec.2016,257.02,699.17,286.27,591.761,0.54,2.90,3.50,51.3,0.80%,1.70%,0.50%,591.761,"2,914.74",119.53,"322,225","667,17","69,198","1,159,981","1183,07",,,,,
Jan.2017,260.25,740.64,207.47,567.240,0.65,2.90,3.40,51.6,-0.30%,6.60%,-0.80%,567.24,"2,720.92",121.37,"261,325","661,19","68,907","1,148,721","11,791,074",,,,,
Feb.2017,269.50,527.25,229.06,388.072,0.66,2.90,3.25,51.8,0.00%,3.00%,2.00%,388.072,"2,010.74",128.72,"203,100","643,21","68,694","1,129,116","11,404,874",,,,,
Mar.2017,264.06,738.87,288.29,463.234,0.79,2.90,3.13,51.2,0.50%,1.70%,-2.10%,463.234,"2,451.33",127.21,"291,175","661,20","6,894","1,129,165","11,338,617",,,,,
Apr.2017,258.44,651.17,235.12,375.200,0.9,2.90,2.88,51.2,1.00%,0.10%,4.00%,375.2,"2,037.20",116.89,"259,725","655,74","68,876","110,091","11,341,755",,,,,
May.2017,253.63,592.30,255.02,471.285,0.91,2.90,2.65,51.7,0.00%,-0.30%,-3.30%,471.285,"2,448.42",111.67,"311,150","671,54","68,843","1,122,436","11,251,359",,,,,
Jun.2017,258.52,440.47,271.09,426.069,1.04,2.90,2.50,51.4,0.40%,0.10%,1.60%,426.069,"2,167.79",109.86,"249,700","665,15","68,066","1,109,141","11,308,464",,,,,
Jul.2017,271.19,354.23,241.41,495.225,1.15,2.90,2.50,51.7,0.20%,0.10%,-0.80%,495.225,"2,552.43",117.19,"296,975","658,17","67,694","112,417","1,131,746",,,,,
Aug.2017,293.85,402.42,349.50,544.114,1.16,2.90,2.50,52.4,-0.90%,2.70%,2.10%,544.114,"3,001.60",127.02,"228,450","644,24","6,667","109,827","1130,27",,,,,
Sep.2017,298.61,315.20,318.51,437.673,1.15,2.90,2.50,51.6,0.30%,8.40%,-1.10%,437.673,"2,582.15",126.1,"297,250","625,54","6,569","110,776","1,131,599",,,,,
Oct.2017,308.32,252.91,284.44,551.313,1.15,2.90,2.50,51.8,0.90%,-5.90%,0.50%,551.313,"3,432.36",124.23,"274,625","629,55","66,254","1,129,148","11,308,838",,,,,
Nov.2017,309.60,210.62,216.10,492.758,1.16,2.90,2.50,51.6,0.20%,-1.60%,0.60%,492.758,"3,044.55",125.77,"188,525","633,77","6,62","112,819","10,997,945",,,,,
Dec.2017,308.50,516.57,323.07,523.435,1.3,2.90,2.50,51.3,0.90%,-6.00%,2.70%,523.435,"3,555.89",130.23,"201,725","636,92","65,932","1,129,405","1,082,902",,,,,
Jan.2018,321.157,"1,179.43",315.57,527.092,1.41,2.90,2.50,50.3,-0.10%,4.60%,-6.60%,527.092,"3,284.50",136.61,"305,575","605,53","64,233","110,871","1,065,641",,,,,
Feb.2018,317.596,712.73,335.12,412.977,1.42,2.90,2.50,51.5,1.10%,-6.40%,4.10%,412.977,"2,651.68",137.62,"330,800","596,84","63,183","107,97","10,784,747",,,,,
Mar.2018,308.251,708.34,356.34,450.383,1.51,2.90,2.50,51.4,0.50%,-4.30%,1.20%,450.383,"2,928.49",132.47,"383,075","603,45","63,174","1,060,468","10,699,418",,,,,
Apr.2018,310.191,739.48,297.79,505.124,1.69,2.90,2.50,51.9,0.70%,0.90%,0.30%,505.124,"3,189.05",133.89,"334,650","600,55","62,967","1,076,562","10,680,452",,,,,
May.2018,309.430,614.65,376.19,518.518,1.7,2.90,2.50,51.5,-0.10%,0.90%,-0.20%,518.518,"3,244.51",134.35,"311,525","626,12","63,701","1,096,882","10,766,595",,,,,
Jun.2018,315.464,484.23,335.46,531.755,1.82,2.90,2.50,51.2,0.60%,-0.40%,-2.10%,531.755,"3,353.07",135.31,"294,525","636,15","64,651","1,100,638","10,943,552",,,,,
Jul.2018,283.413,405.54,368.07,625.976,1.91,2.90,2.50,51.3,0.10%,0.90%,-0.10%,625.976,"3,764.51",126.91,"254,425","652,41","67,164","111,521","11,222,029",,,,,
Aug.2018,273.959,369.18,443.64,538.165,1.91,2.90,2.50,50.8,0.40%,2.00%,0.70%,538.165,"3,081.81",125.1,"264,925","656,25","68,453","1,109,965","1,120,427",,,,,
Sep.2018,273.064,253.17,371.77,333.841,1.95,2.90,2.50,50.2,0.30%,-8.40%,-1.10%,333.841,"1,869.74",124.52,"202,400","680,91","68,551","1,120,974","1119,82",,,,,
Oct.2018,281.948,283.37,409.08,573.051,2.19,2.90,2.60,50.0,0.10%,10.70%,2.90%,573.051,"3,178.90",127.68,"137,625","676,84","69,191","1,127,218","1,131,615",,,,,
Nov.2018,280.910,190.35,330.86,521.509,2.2,2.90,2.75,49.4,0.60%,0.10%,-1.10%,521.509,"2,913.75",125.89,"136,175","677,61","69,367","113,338","1,125,345",,,,,
Dec.2018,276.429,546.30,310.42,494.514,2.27,2.90,2.75,49.5,0.30%,1.60%,-0.10%,494.514,"2,774.62",123.09,"132,175","681,99","68,837","1,121,994","11,224,244",,,,,
Jan.2019,269.072,"1,429.24",329.03,611.025,2.4,2.90,2.76,49.2,-0.60%,0.10%,-3.70%,611.025,"3,339.66",124.92,"149,200","677,06","67,863","1,089,605","1120,33",,,,,
Feb.2019,284.774,636.59,271.48,369.971,2.4,2.90,3.00,50.5,0.10%,-2.70%,1.40%,369.971,"2,061.03",134.63,"128,475","656,30","67,367","110,44","11,218,333",,,,,
Mar.2019,292.614,697.68,330.46,518.853,2.41,2.90,3.00,50.1,-0.10%,-2.80%,-0.90%,518.853,"2,909.77",136.28,"168,525","667,68","67,119","1,111,443","11,316,005",,,,,
Apr.2019,292.345,737.49,266.40,499.757,2.42,2.90,3.00,49.4,-0.50%,-0.10%,0.60%,499.757,"2,947.32",139.86,"229,175","667,40","67,161","1,116,414","1,142,165",,,,,
May.2019,273.440,623.41,324.74,452.005,2.39,2.90,3.00,49.4,0.40%,-0.20%,2.30%,452.005,"2,605.56",138.99,"212,000","692,00","68,519","1,099,714","11,829,527",,,,,
Jun.2019,266.187,403.39,201.69,481.909,2.38,2.90,2.63,49.7,0.00%,-2.90%,-3.60%,481.909,"2,666.53",141.42,"241,400","692,41","68,977","1,080,685","11,737,845",,,,,
Jul.2019,269.427,429.53,273.13,575.719,2.4,2.90,2.50,49.5,-0.20%,0.60%,1.30%,575.719,"3,054.27",147.8,"290,500","686,06","68,775","1,082,864","11,772,345",,,,,
Aug.2019,258.910,344.79,292.15,510.592,2.13,2.90,2.50,49.8,0.60%,-2.90%,-1.20%,510.592,"2,724.15",133.25,"337,675","713,70","70,629","1,061,886","12,103,782",,,,,
Sep.2019,260.610,284.23,243.27,439.525,2.04,2.90,2.06,49.3,-0.40%,0.40%,1.40%,439.525,"2,310.54",134.76,"264,425","718,44","71,137","107,54","11,941,145",,,,,
Oct.2019,260.493,229.38,260.44,553.615,1.83,2.90,1.94,50.2,-0.80%,-2.50%,-4.20%,553.615,"2,856.07",132.54,"263,400","721,03","70,961","1,081,368","11,834,473",,,,,
Nov.2019,265.791,195.04,202.15,446.884,1.55,2.90,1.75,50.2,1.10%,-0.30%,-0.90%,446.884,"2,329.39",128.3,"208,625","776,53","70,199","1,088,579","11,672,989",,,,,
Dec.2019,274.987,786.98,233.69,486.219,1.55,2.90,1.75,50.0,-0.30%,4.20%,1.30%,486.219,"2,666.30",131.09,"145,700","770,39","70,137","109,101","11,747,052",,,,,
Jan.2020,274.387,"1,347.54",227.02,577.916,1.55,2.90,1.75,35.7,-0.30%,-2.40%,0.80%,577.916,"3,138.63",133.02,"180,725","772,65","69,184","1,092,667","11,674,624",,,,,
Feb.2020,257.933,601.99,167.58,360.327,1.58,2.90,1.75,52.0,0.60%,11.40%,0.40%,360.327,"2,010.62",125.75,"218,175","796,38","69,967","1,100,295","11,953,358",,,,,
Mar.2020,234.901,671.42,191.74,541.495,0.65,2.90,1.38,50.8,-5.40%,7.10%,-3.70%,541.495,"2,879.26",121.52,"222,225","839,38","70,205","1,076,673","12,181,945",,,,,
Apr.2020,228.985,609.49,236.45,571.419,0.05,2.90,0.50,50.6,-11.20%,-4.50%,-9.10%,571.419,"2,729.73",116.05,"253,700","853,38","70,708","1,077,386","12,231,309",,,,,
May.2020,237.402,449.13,256.85,447.679,0.05,2.90,0.50,50.9,1.40%,-9.60%,-8.40%,447.679,"2,112.84",121.21,"261,800","821,81","71,016","107,2","1,228,134",,,,,
Jun.2020,260.470,388.74,244.06,545.726,0.08,2.90,0.50,51.1,5.40%,-0.50%,2.70%,545.726,"2,649.72",132.28,"216,600","793,72","70,816","1,075,782","12,069,459",,,,,
Jul.2020,288.202,388.45,232.55,525.214,0.09,2.90,0.50,51.0,3.00%,-2.50%,8.00%,525.214,"2,811.83",139.97,"128,125","784,73","70,041","1,066,818","11,986,186",,,,,
Aug.2020,294.685,340.60,224.38,474.028,0.1,2.90,0.50,51.5,0.40%,-3.00%,1.70%,474.028,"2,699.16",149.07,"89,350","784,66","6,927","1,060,129","11,868,562",,,,,
Sep.2020,304.470,281.88,208.40,387.775,0.09,2.90,0.50,51.4,-0.60%,8.00%,4.00%,387.775,"2,357.06",152.02,"165,600","773,40","68,106","105,589","11,768,619",,,,,
Oct.2020,304.033,298.92,209.70,474.631,0.09,2.90,0.50,52.1,1.10%,-2.20%,3.80%,474.631,"2,933.80",150.99,"171,300","788,27","67,254","1,052,095","11,437,681",,,,,
Nov.2020,320.392,212.15,228.92,422.962,0.09,2.90,0.50,51.9,0.40%,0.50%,0.00%,422.962,"2,671.83",158.16,"149,800","762,88","66,029","1,044,061","11,160,978",,,,,
Dec.2020,351.772,820.58,245.96,513.265,0.09,2.90,0.50,51.3,1.60%,3.40%,-1.60%,513.265,"3,337.42",180.07,"107,950","734,73","65,393","1,037,952","10,937,876",,,,,
Jan.2021,361.536,"1,306.53",279.24,571.806,0.09,2.90,0.50,50.6,0.90%,7.50%,4.20%,571.806,"3,999.30",189.54,"74,575","723,56","64,672","1,037,883","10,982,367",,,,,
Feb.2021,383.751,829.96,219.92,357.589,0.08,2.90,0.50,51.9,-2.20%,0.90%,-2.10%,357.589,"2,664.18",192.66,"76,225","722,63","64,601","1,053,774","11,118,137",,,,,
Mar.2021,408.459,620.39,194.93,507.775,0.07,2.90,0.50,51.1,1.40%,4.70%,2.20%,507.775,"3,998.58",198.61,"144,500","726,37","65,109","1,086,991","11,302,543",,,,,
Apr.2021,423.454,610.67,394.83,504.507,0.07,2.90,0.50,51.0,0.70%,12.40%,2.50%,504.507,"4,162.56",208.12,"143,725","707,85","65,186","1,090,445","11,178,555",,,,,
May.2021,461.937,410.55,228.92,458.676,0.06,2.90,0.50,50.9,0.80%,15.60%,-5.90%,458.676,"3,880.66",229.07,"122,425","712,26","64,321","109,112","11,236,565",,,,,
Jun.2021,436.013,450.30,261.96,410.746,0.08,2.90,0.50,50.4,0.40%,11.90%,6.20%,410.746,"3,830.40",237.39,"211,525","726,54","6,425","1,101,073","11,226,073",,,,,
Jul.2021,427.901,405.77,388.82,557.757,0.1,2.90,0.63,50.1,0.90%,7.90%,-1.50%,557.757,"4,901.16",238.78,"239,650","750,44","64,763","1,102,143","11,463,948",,,,,
Aug.2021,424.435,399.86,340.28,575.607,0.09,2.90,0.75,49.6,0.40%,9.60%,-3.20%,575.607,"5,015.36",212.24,"253,000","779,83","64,768","1,098,527","11,609,945",,,,,
Sep.2021,422.933,310.49,293.76,425.307,0.08,2.90,1.50,49.2,-1.30%,-1.80%,-5.40%,425.307,"3,769.38",191.43,"219,525","783,63","64,563","110,161","1,172,819",,,,,
Oct.2021,443.545,330.26,261.17,412.922,0.08,2.90,2.25,50.1,1.60%,4.50%,1.10%,412.922,"3,565.20",196.48,"140,175","813,95","64,172","1,131,215","1181,89",,,,,
Nov.2021,442.955,240.18,317.84,480.651,0.08,2.90,2.75,50.3,0.50%,5.90%,7.20%,480.651,"4,384.78",180.06,"76,450","812,62","63,889","113,965","1184,06",,,,,
Dec.2021,433.195,837.56,325.02,491.081,0.08,2.90,3.46,50.1,-0.10%,6.20%,-1.00%,491.081,"4,491.90",190.58,"88,950","849,12","63,693","1,138,329","11,838,871",,,,,
Jan.2022,422.634,"1,470.99",344.73,507.420,0.08,2.90,4.21,50.2,1.40%,4.30%,-1.30%,507.42,"4,525.27",208.89,"87,650","822,05","63,556","1,148,255","11,960,345",,,,,
Feb.2022,443.429,818.70,204.73,352.120,0.08,2.90,5.50,49.5,0.50%,6.50%,0.10%,352.12,"3,113.68",216.64,"73,025","807,07","63,436","1,152,763","11,991,226",,,,,
Mar.2022,450.932,647.72,381.82,458.879,0.2,2.90,5.63,47.4,0.90%,3.70%,0.30%,458.879,"4,252.11",233.43,"91,400","799,19","63,446","1,185,774","12,208,409",,,,,
Apr.2022,464.369,530.92,297.71,434.448,0.33,2.90,7.00,49.6,1.10%,3.30%,-1.30%,434.448,"4,130.86",231.44,"156,050","815,12","6,431","1,263,743","12,351,533",,,,,
May.2022,461.899,482.48,281.49,315.728,0.77,2.90,8.02,50.2,0.20%,7.30%,-7.20%,315.728,"2,964.45",208.09,"149,200","849,39","6,699","1,288,486","12,688,081",,,,,
Jun.2022,424.690,404.97,347.98,441.025,1.21,2.90,8.81,49.0,-0.20%,1.40%,8.90%,441.025,"3,857.10",200.26,"124,275","857,77","66,952","1,339,619","12,774,057",,,,,
Jul.2022,409.736,340.17,300.11,397.571,1.68,2.90,9.43,49.4,0.60%,1.50%,1.00%,397.571,"3,274.58",172.47,"130,575","953,71","67,352","136,709","13,080,295",,,,,
Aug.2022,341.545,322.93,296.51,453.579,2.33,2.90,9.75,50.1,-0.20%,1.00%,2.70%,453.579,"3,282.19",174.74,"118,500","904,35","68,007","1,352,835","13,194,122",,,,,
Sep.2022,361.104,301.81,283.92,484.434,2.56,2.90,10.55,49.2,0.40%,0.80%,-1.60%,484.434,"3,511.55",165.86,"135,250","921,01","70,195","1,432,843","13,963,729",,,,,
Oct.2022,350.840,285.14,286.85,358.426,3.08,2.90,11.07,48.0,-0.10%,-1.10%,-2.60%,358.426,"2,574.03",161.61,"113,125","955,89","71,902","1,470,515","1,426,065",,,,,
Nov.2022,345.693,253.34,248.04,518.424,3.78,2.90,11.25,47.0,-0.20%,-3.70%,-0.10%,518.424,"3,591.70",169.01,"89,700","917,05","71,812","142,445","1361,79",,,,,
Dec.2022,364.233,783.44,306.02,423.823,4.1,2.90,11.25,50.1,-0.70%,-7.30%,-0.10%,423.823,"3,142.19",184.3,"88,925","875,66","69,717","1,349,148","12,935,629",,,,,
Jan.2023,379.429,"1,773.62",321.57,434.434,4.33,2.90,11.25,52.6,0.00%,-12.70%,-4.60%,434.434,"3,340.77",198.82,"75,225","826,34","67,904","1,304,475","12,430,705",,,,,
Feb.2023,408.224,940.55,214.43,366.239,4.57,2.90,11.25,51.9,0.00%,-8.10%,4.50%,366.239,"3,030.00",209.1,"64,100","798,26","6,838","1,330,463","12,754,205",,,,,
Mar.2023,406.201,709.79,333.12,453.660,4.65,2.90,11.25,49.2,0.40%,-7.60%,0.80%,453.66,"3,774.24",203.58,"64,725","809,50","68,909","1,336,643","13,060,161",,,,,
Apr.2023,400.782,444.17,318.03,475.856,4.83,2.90,11.25,48.8,0.50%,-8.90%,-0.40%,475.856,"3,896.62",195.53,"64,550","803,84","68,876","1,334,745","1,322,057",,,,,
May.2023,399.796,453.26,246.86,,5.06,,11.25,,-0.20%,,0.70%,,,178.18,"99,150","798,64","69,854","1,370,532","1327,48",,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
