periodo,Precio_cobre_ nominal,Agropecuario-silvícola y pesquero (FOB),"Celulosa, papel y otros (FOB)",Cobre (Miles TM),TPM_USA,TPM_CHN,TPM_CHL,PMI_CHN,IPI_USA,IPI_KOR,IPI_JPN,Exp_Cobre ,Monto_FOB_Cobre,Precio_FMI,INV_BML, Peso_CHL/USD,Yuan_CHN/USD,Yea_JPN/USD,Won_KOR/USD,,,,,
Aug.2005,172.263,112.29,130.62,474.600,3.5,3.33,3.65,55.10,0.20%,6.30%,0.10%,474.6,"1,572.33",83.37,"65,675","546,61","81,017","1,106,065","10,216,804",,,,,
Sep.2005,174.989,89.64,130.29,445.800,3.62,3.33,3.93,54.10,-2.00%,6.20%,0.90%,445.8,"1,576.38",82.82,"83,250","536,70","80,919","111,239","10,298,433",,,,,
Oct.2005,184.148,74.75,138.69,432.100,3.78,3.33,4.18,54.10,1.30%,6.60%,-0.50%,432.1,"1,538.24",83.32,"62,575","535,50","80,895","1,148,695","10,458,775",,,,,
Nov.2005,193.654,80.42,139.67,475.900,4,3.33,4.42,54.30,1.00%,10.60%,1.60%,475.9,"1,798.38",85.99,"71,175","529,88","8,084","118,454","1040,76",,,,,
Dec.2005,207.599,221.94,115.27,456.500,4.16,3.33,4.50,52.10,0.60%,10.70%,0.20%,456.5,"1,788.54",92.2,"89,575","514,33","80,755","1,184,624","1,022,381",,,,,
Jan.2006,214.746,291.48,127.24,389.500,4.29,3.33,4.50,52.10,0.10%,5.60%,0.40%,389.5,"1,899.30",99.7,"97,600","524,48","80,654","1,154,765","981,435",,,,,
Feb.2006,225.998,295.59,135.41,389.000,4.49,3.33,4.66,55.30,0.00%,18.70%,-0.10%,389,"1,933.76",102.61,"108,900","525,70","80,512","1,178,605","9,698,447",,,,,
Mar.2006,231.461,478.77,150.73,594.700,4.59,3.33,4.75,58.10,0.30%,8.60%,0.60%,594.7,"3,342.31",104,"121,925","528,77","8,035","1,172,778","9,747,109",,,,,
Apr.2006,289.745,463.14,138.24,371.400,4.79,3.33,4.88,54.80,0.40%,7.80%,2.00%,371.4,"2,277.29",119.39,"117,725","517,33","80,143","1,170,695","952,595",,,,,
May.2006,364.954,308.30,214.27,485.600,4.94,3.33,5.00,54.10,-0.10%,9.80%,-1.40%,485.6,"3,240.99",136.9,"112,175","520,79","80,131","1,117,305","9,408,168",,,,,
Jun.2006,326.478,180.10,118.70,414.100,4.99,3.33,5.00,52.40,0.40%,9.30%,1.30%,414.1,"2,906.17",126.64,"93,575","542,46","80,042","114,625","954,45",,,,,
Jul.2006,349.815,134.35,215.67,492.300,5.24,3.33,5.14,53.10,0.00%,1.50%,0.40%,492.3,"3,353.71",137.66,"97,450","540,62","79,897","115,767","950,81",,,,,
Aug.2006,349.069,124.67,150.40,410.100,5.25,3.33,5.25,57.00,0.30%,10.00%,0.40%,410.1,"2,912.56",142.82,"125,350","538,53","79,722","1,159,243","9,609,522",,,,,
Sep.2006,344.837,87.24,144.37,451.100,5.25,3.33,5.25,54.70,-0.20%,18.10%,0.00%,451.1,"3,196.12",142.88,"117,575","538,65","79,334","1,172,145","952,29",,,,,
Oct.2006,340.212,85.08,179.52,432.000,5.25,3.33,5.25,55.30,0.00%,4.80%,0.80%,432,"2,959.58",149.08,"130,500","530,95","79,018","118,609","9,526,429",,,,,
Nov.2006,318.838,84.91,175.98,426.600,5.25,3.33,5.25,54.80,-0.10%,7.10%,0.40%,426.6,"2,876.83",148.02,"155,350","527,44","78,622","1,173,205","9,354,143",,,,,
Dec.2006,302.778,275.50,172.17,377.600,5.24,3.33,5.25,55.10,1.00%,2.20%,0.30%,377.6,"2,452.04",151.44,"182,800","527,58","78,219","117,322","924,98",,,,,
Jan.2007,257.171,401.29,245.19,560.745,5.25,3.33,5.09,53.10,-0.50%,8.70%,-1.10%,560.745,"3,352.92",148.68,"211,825","540,51","77,876","1,204,471","9,367,619",,,,,
Feb.2007,257.479,339.44,210.00,415.200,5.26,3.33,5.00,56.10,1.10%,-0.20%,0.60%,415.2,"2,454.13",154.2,"207,975","542,27","77,502","1,205,047","936,9",,,,,
Mar.2007,292.680,503.22,242.03,465.917,5.26,3.33,5.00,58.60,0.10%,3.50%,-0.60%,465.917,"2,855.45",166.32,"178,075","538,49","77,369","117,26","9,428,841",,,,,
Apr.2007,352.281,559.83,253.27,476.130,5.25,3.33,5.00,55.70,0.70%,6.40%,-0.10%,476.13,"3,188.25",183.18,"157,200","532,30","77,247","1,189,324","9,306,905",,,,,
May.2007,348.457,364.98,217.47,597.424,5.25,3.33,5.00,54.50,0.00%,5.80%,-0.40%,597.424,"4,122.88",186.78,"128,925","522,02","76,773","1,207,732","9,275,636",,,,,
Jun.2007,339.100,238.06,260.43,418.940,5.25,3.33,5.00,53.30,0.00%,6.70%,1.20%,418.94,"2,940.22",174.08,"114,700","526,72","76,333","1,226,886","9,278,667",,,,,
Jul.2007,361.691,169.35,309.12,495.128,5.26,3.33,5.15,54.00,0.00%,13.60%,-0.40%,495.128,"3,522.41",167.72,"101,750","519,80","75,757","1,214,148","918,119",,,,,
